IAA,IEG,IPS,IDA,IPP,IPV,IAN,INDE,Defasagem
10.0,9.3,7.52,9.1,7.5,9.925,10.0,9.1672,0
9.0,9.9,7.52,9.0,7.5,9.925,5.0,8.6672,-1
10.0,9.8,7.52,9.3,7.5,9.84,10.0,9.2902,0
10.0,9.5,7.52,9.2,7.5,10.01,5.0,8.7442,-1
0.0,9.2,3.14,7.9,6.875,9.0,5.0,6.7215,-2
9.0,9.6,7.52,9.3,7.5,10.01,5.0,8.6742,-2
10.0,9.6,7.52,7.7,6.875,8.84,10.0,8.6677,0
8.5,10.0,7.52,6.3,5.625,5.85,5.0,7.0847,-2
0.0,8.7,2.52,6.2,5.3125,8.665,5.0,5.99625,-1
9.0,9.2,7.52,8.7,7.5,10.01,5.0,8.4742,-1
0.0,9.1,7.52,6.8,6.25,7.175,5.0,6.492,-1
8.5,8.3,6.27,7.8,6.875,7.095,5.0,7.2937,-1
9.5,9.1,7.52,8.0,6.25,8.08,5.0,7.8632,-1
9.5,9.8,7.52,8.5,7.5,10.01,5.0,8.6142,-1
8.5,9.4,7.52,7.2,6.875,8.5,5.0,7.7997,-1
8.5,8.2,6.27,4.7,5.0,7.18,5.0,6.4832,-1
10.0,10.0,7.52,5.0,6.5625,7.675,5.0,7.44345,-1
9.5,8.0,7.52,6.5,5.625,7.35,5.0,7.1347,-2
9.0,9.7,7.52,8.3,7.5,10.01,5.0,8.4942,-1
9.5,9.1,7.52,5.8,6.875,8.33,10.0,8.0357,0
8.5,9.7,7.52,5.5,6.25,7.51,10.0,7.7692,0
8.5,8.1,7.52,9.4,9.375,9.84,10.0,8.9977,0
7.8,6.4,3.77,6.9,5.625,8.17,10.0,7.0169,0
9.0,9.1,3.77,6.0,6.875,7.84,10.0,7.5427,0
0.0,8.6,3.77,5.2,7.1875,7.415,5.0,5.82875,-1
9.0,9.1,3.77,8.8,7.5,9.34,10.0,8.4752,0
7.9,9.2,7.52,6.5,5.625,7.67,10.0,7.7803,0
9.5,9.2,6.27,8.6,5.9375,8.34,10.0,8.39895,0
8.5,7.4,5.02,5.8,5.625,8.085,10.0,7.1717,0
9.0,9.8,3.77,8.6,5.625,9.34,10.0,8.3877,0
9.5,9.6,6.27,6.0,5.625,9.51,10.0,8.1617,0
0.0,9.8,5.02,6.3,5.625,9.34,10.0,7.1425,0
10.0,10.0,2.52,8.7,7.5,9.755,5.0,8.1932,-1
9.5,9.1,2.52,5.8,5.625,9.01,10.0,7.5367,0
0.0,9.1,2.52,8.6,5.625,8.835,10.0,7.1215,0
8.5,9.9,2.52,8.8,6.25,9.415,10.0,8.3502,0
8.0,9.8,7.52,8.3,6.875,9.84,10.0,8.8177,0
9.0,9.3,2.52,6.8,5.625,8.5,10.0,7.6247,0
9.5,9.1,2.52,8.3,5.625,8.83,10.0,8.0107,0
0.0,9.8,6.27,7.3,6.875,9.76,10.0,7.6765,0
7.9,8.1,7.52,8.5,6.25,9.84,5.0,7.9568,-1
9.5,8.1,2.52,8.3,7.5,10.01,5.0,7.7242,-1
10.0,8.2,10.0,8.7,6.875,9.84,5.0,8.5257,-1
